aiannh_ce,aiannh_ns,aiannh_name,area_type,states
6310,02418825,Chilkat ANVSA,alaska_native_village,AK
6315,02418826,Chilkoot ANVSA,alaska_native_village,AK
6325,02418829,Chistochina ANVSA,alaska_native_village,AK
6330,02418831,Chitina ANVSA,alaska_native_village,AK
6335,02418834,Chuathbaluk ANVSA,alaska_native_village,AK
6340,02418835,Chuloonawick ANVSA,alaska_native_village,AK
6350,02418836,Circle ANVSA,alaska_native_village,AK
6360,02418839,Clarks Point ANVSA,alaska_native_village,AK
6365,02418846,Copper Center ANVSA,alaska_native_village,AK
6380,02418849,Council ANVSA,alaska_native_village,AK
6385,02418851,Craig ANVSA,alaska_native_village,AK
6390,02418852,Crooked Creek ANVSA,alaska_native_village,AK
6400,02418551,Deering ANVSA,alaska_native_village,AK
6405,02418554,Dillingham ANVSA,alaska_native_village,AK
6415,02418555,Dot Lake ANVSA,alaska_native_village,AK
6420,02418558,Douglas ANVSA,alaska_native_village,AK
6430,02418560,Eagle ANVSA,alaska_native_village,AK
6440,02418566,Eek ANVSA,alaska_native_village,AK
6445,02418567,Egegik ANVSA,alaska_native_village,AK
6450,02418569,Eklutna ANVSA,alaska_native_village,AK
6455,02418570,Ekuk ANVSA,alaska_native_village,AK
6460,02418571,Ekwok ANVSA,alaska_native_village,AK
6470,02575181,Elim ANVSA,alaska_native_village,AK
6480,02418573,Emmonak ANVSA,alaska_native_village,AK
6490,02418575,Evansville ANVSA,alaska_native_village,AK
6495,02418578,Eyak ANVSA,alaska_native_village,AK
6500,02418579,False Pass ANVSA,alaska_native_village,AK
6515,02418585,Fort Yukon ANVSA,alaska_native_village,AK
6520,02418592,Gakona ANVSA,alaska_native_village,AK
6525,02418594,Galena ANVSA,alaska_native_village,AK
6530,02418595,Gambell ANVSA,alaska_native_village,AK
6535,02418598,Georgetown ANVSA,alaska_native_village,AK
6540,02418601,Golovin ANVSA,alaska_native_village,AK
6545,02418602,Goodnews Bay ANVSA,alaska_native_village,AK
6550,02418603,Grayling ANVSA,alaska_native_village,AK
6560,02418604,Gulkana ANVSA,alaska_native_village,AK
6570,02418609,Hamilton ANVSA,alaska_native_village,AK
6575,02418613,Healy Lake ANVSA,alaska_native_village,AK
6585,02418617,Holy Cross ANVSA,alaska_native_village,AK
6590,02418618,Hoonah ANVSA,alaska_native_village,AK
6595,02418619,Hooper Bay ANVSA,alaska_native_village,AK
6605,02418621,Hughes ANVSA,alaska_native_village,AK
6610,02418622,Huslia ANVSA,alaska_native_village,AK
6615,02418623,Hydaburg ANVSA,alaska_native_village,AK
6620,02418625,Igiugig ANVSA,alaska_native_village,AK
6625,02418627,Iliamna ANVSA,alaska_native_village,AK
